id,split,mean_B4,mean_B3,mean_B2,centroid_dist_to_river_m,centroid_dist_to_river_m,encroachment
119,train,1409.3333740234375,1235.6666259765625,1034.6666259765625,96.4744123757692,96.4744123757692,0
120,train,1276.0,1054.0,907.0,97.8316133818114,97.8316133818114,0
121,train,1257.3333740234375,1041.3333740234375,845.0,90.07458124166948,90.07458124166948,0
122,train,0.0,0.0,0.0,101.14402109429864,101.14402109429864,0
123,test,0.0,0.0,0.0,134.89508272842056,134.89508272842056,0
124,train,1418.0,1138.0,906.0,129.01204729215917,129.01204729215917,0
125,train,1371.5,1123.0,895.25,151.35118308688763,151.35118308688763,0
126,train,0.0,0.0,0.0,162.29651343707255,162.29651343707255,0
127,test,0.0,0.0,0.0,158.82577394263183,158.82577394263183,0
128,train,1138.800048828125,855.4000244140625,695.0,166.5249473970226,166.5249473970226,0
129,train,1371.199951171875,1095.199951171875,900.5999755859375,184.7339064769405,184.7339064769405,0
130,train,1278.0,1090.0,946.0,138.54281454720999,138.54281454720999,0
131,train,1556.5,1320.0,1126.5,149.60642767388154,149.60642767388154,0
132,train,1296.0,1166.25,977.25,166.70933531716662,166.70933531716662,0
133,train,1174.0,1056.0,880.0,146.8515308468065,146.8515308468065,0
134,train,0.0,0.0,0.0,169.38526126939058,169.38526126939058,0
135,test,1298.0,1148.0,943.0,160.74386498534142,160.74386498534142,0
136,train,1319.0,1117.0,956.0,165.70877561467452,165.70877561467452,0
137,train,1345.0,977.0,804.0,183.9936664113882,183.9936664113882,0
138,train,1442.0,1296.0,1128.0,154.4358435901846,154.4358435901846,0
139,train,0.0,0.0,0.0,169.28886920717764,169.28886920717764,0
140,train,1139.0,914.0,740.0,175.58669146434977,175.58669146434977,0
141,train,0.0,0.0,0.0,185.0814380430737,185.0814380430737,0
142,test,0.0,0.0,0.0,191.03276285208187,191.03276285208187,0
143,train,1432.0,1218.0,1030.0,200.92650715920288,200.92650715920288,0
144,train,1328.0,1104.0,930.0,203.13442157628438,203.13442157628438,0
145,train,0.0,0.0,0.0,195.50184885136903,195.50184885136903,0
