B11,B12,B2,B3,B4,B8,NDBI,NDVI,builtup,lon,lat
1662.0,1005.0,263.0,422.0,329.0,2243.0,-0.1487836092710495,0.7441679835319519,0,36.73395351397968,-1.336738058534054
1854.0,1233.0,466.0,686.0,794.5,2257.0,-0.09802967309951782,0.4792724847793579,0,36.76287926612833,-1.2995478057715057
1734.5,968.5,320.0,526.0,398.0,2859.5,-0.24488462507724762,0.7556408047676086,0,36.73763660664457,-1.3335041235112237
2624.0,1806.0,647.0,986.0,1058.0,2692.0,-0.012791573069989681,0.4357333481311798,0,36.73835525887186,-1.323532823857497
971.0,435.0,232.0,304.0,233.5,1838.0,-0.30865076184272766,0.774559497833252,0,36.73071957895685,-1.3172446168686602
1376.0,765.0,290.0,455.0,317.0,2465.0,-0.2835199236869812,0.772106409072876,0,36.71868215414965,-1.308261464027465
1638.5,748.0,258.0,451.5,281.5,2676.0,-0.24046818912029266,0.8096365332603455,0,36.765574211980685,-1.317873437567544
3020.0,1790.0,728.0,1058.0,914.0,3452.0,-0.06674907356500626,0.5813101530075073,0,36.75730971136679,-1.3095191054252324
979.5,493.0,253.5,338.5,265.0,2043.0,-0.35186102986335754,0.7703639268875122,0,36.71868215414965,-1.3077224748569933
1498.0,694.5,290.0,477.5,286.0,2737.0,-0.29256197810173035,0.8107839822769165,0,36.74185868847993,-1.314100513374242
2170.0,1261.0,446.0,729.5,627.5,3053.0,-0.16905993223190308,0.6590137481689453,0,36.7326060410535,-1.287869707077952
2226.5,1328.0,500.5,768.5,705.5,2704.0,-0.09684616327285767,0.5861563086509705,0,36.75012318909383,-1.3140106818458301
2203.0,1391.5,467.0,739.5,639.0,2886.0,-0.13421104848384857,0.6374468207359314,0,36.761352130145326,-1.3237124869143209
1926.5,1235.0,376.5,615.0,438.5,2644.0,-0.15698501467704773,0.7154906988143921,0,36.7618911193158,-1.3014342678681567
2146.0,1474.5,647.5,956.0,1064.0,2257.0,-0.02521008439362049,0.3592291474342346,0,36.73018058978638,-1.3299108623747455
1931.0,1109.0,399.0,698.0,562.0,3344.0,-0.2678672969341278,0.7122375965118408,0,36.730989073542084,-1.2987393220157981
1857.0,1449.0,609.0,772.0,774.0,2010.0,-0.0395655557513237,0.44396552443504333,0,36.73305519869556,-1.3037698876068675
1165.0,513.0,249.0,331.0,258.0,2208.0,-0.3092202842235565,0.7907542586326599,0,36.73215688341144,-1.317963269095956
1466.0,660.5,247.0,417.5,270.5,2286.0,-0.21855010092258453,0.7883825302124023,0,36.746080770315295,-1.319580236607371
2800.0,2239.0,490.0,802.0,658.0,2878.0,-0.013737231492996216,0.627828061580658,0,36.72757547546243,-1.3002664579988015
1790.5,938.5,326.5,533.5,349.5,2734.0,-0.20853133499622345,0.7733095288276672,0,36.72110760541677,-1.3206582149483146
1264.0,634.0,232.0,355.0,274.0,2150.0,-0.25951963663101196,0.7739273905754089,0,36.749853694508595,-1.3096987684820562
2138.0,1191.0,414.0,710.0,530.0,3720.0,-0.2700580358505249,0.7505882382392883,0,36.73799593275822,-1.2994579742430938
1715.5,1041.5,298.0,492.0,340.5,2564.5,-0.1983644813299179,0.7655766010284424,0,36.738445090400276,-1.3343126072669311
1619.5,726.5,273.0,446.5,291.5,2681.0,-0.2468317598104477,0.8038687705993652,0,36.76548438045227,-1.317873437567544
1952.5,1512.0,459.5,668.0,733.5,2327.0,-0.08751022070646286,0.5206665396690369,0,36.72200592070089,-1.2942477455952006
1505.5,675.0,262.0,423.5,262.0,2940.0,-0.3226858675479889,0.8363522887229919,0,36.743655319048166,-1.3158971439424811
1742.0,1115.0,419.0,580.0,688.0,2104.0,-0.09412376582622528,0.5071633458137512,0,36.72452120349642,-1.317603942982308
2694.0,1831.0,578.0,896.0,919.0,2784.0,-0.016429353505373,0.5036457180976868,0,36.73377385092285,-1.2943375771236125
881.0,369.0,229.0,313.0,244.0,1970.0,-0.38197124004364014,0.7795844674110413,0,36.7415891938947,-1.3207480464767265
2827.0,1560.0,579.0,1021.0,786.0,3827.0,-0.150285542011261,0.6592239141464233,0,36.74644009642894,-1.3131123665617106
